int_chllS_1000,int_chllS_300,oc,kd,Var5,Var6,Var7,Var8,Var9
-0.000726969531746832,-3.97977951629633e-08,0.166027456521988,0.0407999989693053,-79.60057,-79.60057,2017,2,11
-0.00113039325177251,-4.23661757567816e-08,0.151288762688637,0.0307999992219266,-79.5545,-79.5545,2017,2,11
-0.000356011613528234,-2.99096835095247e-08,0.153614088892937,0.0337999991461402,-79.51093,-79.51093,2017,2,12
-0.00276065214912844,-2.79740232319054e-08,0.158240109682083,0.0361999990855111,-79.42614,-79.42614,2017,2,12
-0.0025455425529189,-4.11488700614737e-08,0.149159327149391,0.0289999992673984,-79.39535,-79.39535,2017,2,12
0.000357177189527409,-6.29512021765807e-08,0.125773742794991,0.125773742794991,-79.2494,-79.2494,2017,2,13
0.000625629241487461,-4.67622195111204e-08,0.142130136489868,0.029199999262346,-79.21127,-79.21127,2017,2,17
0.000340203505055553,-5.02724446003554e-08,0.217948868870735,0.0591999985044822,-79.3471,-79.3471,2017,2,17
-0.000275549998662204,-5.17751081354332e-08,0.153427690267563,0.153427690267563,-79.48477,-79.48477,2017,2,18
-0.000354254483786363,-3.69498712601587e-08,0.151022598147392,0.151022598147392,-79.56062,-79.56062,2017,2,18
1.36971204354844e-05,-3.35740836452004e-08,0.15063302218914,0.15063302218914,-79.63589,-79.63589,2017,2,18
-0.000710804471651195,-2.24458632958563e-08,0.156992971897125,0.156992971897125,-79.71471,-79.71471,2017,2,18
-0.00010168545334189,-3.05633272821995e-08,0.150804862380028,0.150804862380028,-79.85389,-79.85389,2017,2,18
-1.18922815832417e-07,-1.18922815832417e-07,0.148880049586296,0.0229999994189711,-80.15328,-80.15328,2017,2,20
-1.27869721544205e-07,-1.27869721544205e-07,0.158356711268425,0.0335999991511926,-80.15327,-80.15327,2017,2,20
-1.02835592560245e-07,-1.02835592560245e-07,0.172840565443039,0.0389999990147771,-80.15517,-80.15517,2017,2,20
-7.54723681111864e-08,-7.54723681111864e-08,0.121477752923965,0.121477752923965,-80.15161,-80.15161,2017,2,20
-7.80817851530013e-08,-7.80817851530013e-08,0.122240349650383,0.122240349650383,-80.14842,-80.14842,2017,2,20
-8.16082256169518e-08,-8.16082256169518e-08,0.338109880685806,0.0595999984943774,-80.14423,-80.14423,2017,2,20
-8.66498287794074e-08,-8.66498287794074e-08,0.131076619029045,0.131076619029045,-80.13954,-80.13954,2017,2,20
-9.42414375857901e-08,-9.42414375857901e-08,0.323822617530823,0.0537999986408977,-80.11053,-80.11053,2017,2,20
-7.83182752125195e-08,-7.83182752125195e-08,0.38848152756691,0.0609999984590104,-80.08569,-80.08569,2017,2,20
